** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,6
town.txt,451617,10000,27
large-town.txt,2255053,50000,88
city.txt,4511688,100000,130
large-city.txt,22554540,500000,765
metropolis.txt,45107513,1000000,1400
capital.txt,90209834,2000000,3259
megalopolis.txt,227564229,5000000,9496
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,1
town.txt,451617,10000,9
large-town.txt,2255053,50000,43
city.txt,4511688,100000,123
large-city.txt,22554540,500000,489
metropolis.txt,45107513,1000000,1123
capital.txt,90209834,2000000,2045
megalopolis.txt,227564229,5000000,4988
